Mã học phần,Tên học phần,Số tín chỉ,LT,TH,Tự học,Học phần tiên quyết,Học phần học trước,Học phần song hành,Khoa quản lý,Mô tả vắn tắt các nội dung học phần,Khối kiến thức,Loại Học phần
CSE703006,Cấu trúc dữ liệu và thuật toán,3,2,1,6,CSE703038,CSE703038,,CSE,"Học phần trang bị cho sinh viên các kiến thức về độ phức tạp thuật toán, một số cấu trúc dữ liệu và giải thuật thường gặp, cách triển khai cấu trúc dữ liệu/thuật toán bằng một ngôn ngữ lập trình (C/C++/...). Sinh viên sẽ được giới thiệu và làm quen với một số bài toán thực tế, cách các cấu trúc dữ liệu/thuật toán đã học được triển khai để giải quyết các vấn đề đó một cách hiệu quả.",Cơ sở ngành,B2
CSE703024,Toán rời rạc,3,3,0,6,,,,CSE,"Toán học rời rạc cho ngành công nghệ thông tin cung cấp kiến thức toán học cơ sở cho ngành học bao gồm cơ sở của logic toán học, lý thuyết số, thuật toán, lý thuyết đếm, lý thuyết đồ thị, cây, ôtô mát, ngôn ngữ hình thức và mô hình tính toán. Tất cả các đơn vị kiến thức trên đây được liên kết với nhau thành một giáo trình liên quan và thống nhất với nhau về mặt lôgích. Môn học còn bao gồm nhiều bài tập giúp cho học sinh rèn luyện kỹ năng tư duy toán học và vận dụng kiến thức lý thuyết đã học vào các bài toán thực tế.",Cơ sở ngành,B2
CSE702028,Lập trình cho trí tuệ nhân tạo,2,1,1,4,,CSE703038,,CSE,"Nội dung môn học cung cấp các kiến thức về phân tích dữ liệu sử dụng Python bao gồm các thao tác trên các nguồn dữ liệu khác nhau, các thao tác tiền xử lý các kiểu dữ liệu và các thao tác phân tích dữ liệu sử dụng các thư viện Numpy, Pandas, Scikit-learn, Opencv. Các kiểu dữ liệu quan trọng bao gồm dữ liệu số, dữ liệu rời rạc, dữ liệu thời gian, văn bản và ảnh. Học viên được rèn luyện các kỹ năng sử dụng các thư viện để thực hiện viết các chương trình phân tích các kiểu dữ liệu và vận dụng kiến thức để giải quyết các bài toán phân tích dữ liệu.",Cơ sở ngành,B2
CSE703057,Tối ưu hoá,3,3,0,6,FFS703007; FFS703008,,,CSE,"Học phần trang bị cho người học các kiến thức lý thuyết cơ bản trong lĩnh vực tối ưu hóa, và ứng dụng trong giải quyết một số bài toán tối ưu hóa trong thực tế. Cụ thể, sinh viên sẽ được trang bị kiến thức về các dạng bài toán tối ưu, bao gồm tối ưu không có ràng buộc, có ràng buộc, tối ưu lồi, tối ưu tuyến tính, tối ưu phi tuyến; và phương pháp giải các dạng bài toán này.",Cơ sở ngành,B2
CSE703008,Cơ sở dữ liệu,3,2,1,6,,,,CSE,"Học phần giới thiệu các khái niệm căn bản về quản trị dữ liệu hiện đại. Sinh viên sẽ học về thiết kế lược đồ, mô hình hóa dữ liệu, các ngôn ngữ truy vấn, xây dựng các ứng dụng cơ sở dữ liệu, các giao tác, và nhiều chủ đề khác. Thông qua các bài giảng, các phần, và các bài tập được giao, sinh viên sẽ học và hiểu các hệ thống quản trị dữ liệu thế giới thực làm việc như thế nào và chúng liên quan đến nhiều khía cạnh trong đời sống hàng ngày của chúng ta ra sao.",Cơ sở ngành,B2
CSE703023,Kiến trúc máy tính,3,2,1,6,,,,CSE,"Học phần giới thiệu cấu trúc và chức năng của các thành phần của máy tính bao gồm các nội dung: giới thiệu về công nghệ máy tính; tập lệnh của máy tính; số học trên máy tính; đường đi dữ liệu và điều khiển; kỹ thuật ống dẫn; các cấp bộ nhớ và ghép nối các thiết bị ngoại vi với bộ xử lý. Sinh viên hiểu rõ bản chất và nguyên lý vận hành cơ bản của máy tính, từ thi hành lệnh đến sự kết nối các thiết bị ngoại vi.",Cơ sở ngành,B2
CSE703020,Học máy,3,3,0,6,FFS703008; FFS703007,FFS703010,,CSE,"Trong học phần này sinh viên sẽ được cung cấp các khái niệm cơ bản, các kỹ thuật, và ứng dụng của học máy (machine learning). Sinh viên sẽ được tiếp cận với các kỹ thuật học máy có giám sát và không có giám sát: linear regression, logistic regression, SVM, kernel method, decision tree, giảm chiều, phân cụm .... Sinh viên sẽ được trải nghiệm giải quyết các bài toán thực tế với các bài labs và. mini-projects với học máy và các công cụ lập trình Python.",Cơ sở ngành,B2
CSE703113,Phương pháp số cho học máy,3,2,1,6,CSE703057,FFS703010,,CSE,"Học phần cung cấp cho sinh viên một số phương pháp tính số tiêu biểu trong đại số tuyến tính và các phương pháp tối ưu hóa số học giải quyết các bài toán tối ưu trong khoa học dữ liệu, trí tuệ nhân tạo và học máy, bao gồm: phương pháp sử dụng đạo hàm cấp 1 (gradient descent, steepest descent) và phương pháp sử dụng đạo hàm cấp 2 (Newton và tựa Newton), cũng như một số phương pháp nâng cao như: phương pháp điểm trong, phương pháp nhân tử Lagrange, phương pháp đối ngẫu, phương pháp chiếu.",Cơ sở ngành,B2
CSE703004,An toàn và bảo mật thông tin,3,2,1,6,,CSE703038,,CSE,"Giới thiệu các kiến thức về an toàn thông tin bao gồm cơ sở mật mã, các hệ thống khoá đối xứng, khoá công khai; ứng dụng trong các hệ thống thông tin thông qua chữ kỹ số, truyền tin bảo mật, giao dịch thương mại điện tử…",Cơ sở ngành,B2
CSE702017,Hệ điều hành,2,"1,5","0,5",4,,,,CSE,"Học phần này giới thiệu tổng quan về hệ điều hành, vai trò, chức năng, cấu trúc cơ bản của hệ điều hành. Nội dung chính của học phần đề cập tới các vấn đề cốt lõi của hệ điều hành bao gồm: tiến trình,  luồng, các vấn đề quản lý tiến trình, lập lịch cho CPU, điều phối tiến trình; vấn đề về quản lý bộ nhớ trong, các giải pháp phân chia và cấp phát bộ nhớ, quản lý bộ nhớ ảo; quản lý thiết bị lưu trữ, hệ thống tệp tin; nội dung cuối cùng đề cập đến quản lý vào ra, bảo mật và bảo vệ.",Cơ sở ngành,B2
CSE703041,Nhập môn trí tuệ nhân tạo,3,2,1,6,CSE703006,,,CSE,"Môn học giới thiệu những khái niệm cơ bản và các vấn đề liên quan đến trí tuệ nhân tạo. Phần đầu của học phần là các kỹ thuật tìm kiếm trên không gian trạng thái bằng các giải pháp tìm kiếm mù và tìm kiếm theo kinh nghiệm (heuristic) nhằm mục đích giúp hệ thống đưa ra các giải pháp tốt nhất dựa trên tri thức được đưa vào hệ thống. Ở phần sau, học phần sẽ tập trung vào những khái niệm nền tảng đang được áp dụng trong lĩnh vực trí tuệ nhân tạo hiện đại. Đây chính là nền tảng để sinh viên có thể học các môn học liên quan đến lĩnh vực trí tuệ nhân tạo tiếp theo như máy học hay học sâu.",Cơ sở ngành,B2
CSE703029,Lập trình hướng đối tượng,3,2,1,6,CSE703038,,,CSE,"Học phần này nhằm trang bị cho người học những kiến thức cơ bản về lập trình hướng đối tượng như cách tiếp cận hướng đối tượng dựa trên nền tảng kiến thức lập trình hướng thủ tục của người học. Khóa học bắt đầu với việc ôn tập lại ngắn gọn các cấu trúc điều khiển chương trình, các kiểu dữ liệu. Sau đó,  khóa học giới thiệu mô hình lập trình hướng đối tượng, tập trung vào định nghĩa và sử dụng các lớp cùng với những khái niệm căn bản về thiết kế hướng đối tượng.",Cơ sở ngành,B2
CSE702036,Mạng máy tính,2,2,0,4,,,,CSE,"Học phần trang bị cho sinh viên các khái niệm cơ bản trong mạng máy tính. Nội dung chính gồm kiến trúc mạng, các giao thức trong mô hình TCP/IP, các ứng dụng và vấn đề cơ bản mạng như HTTP, Email, DNS, điều khiển luồng, điều khiển tắc nghẽn, định tuyến, phát hiện lỗi, mạng LAN/WAN... Học phần cũng giới thiệu một số vấn đề về an ninh mạng máy tính.   (This course aims at introducing fundamental concepts, protocols, and architecture of computer networks. Topics cover basic TCP/IP protocols and standards, applications of networking such as HTTP, DNS, Email; Routing algorithms & IP adressing, congestion avoidance and flow control; WAN and local networks. Some security aspects in computer networking will also be covered in the course).",Cơ sở ngành,B2
FBE702001,Quản trị học,2,2,0,4,,,,FBE,"Học phần này cung cấp những kiến thức cơ bản nhất về quản trị trong các tổ chức như: Bản chất của quản trị, lịch sử phát triển của các tư tưởng quản trị, các ảnh hưởng của môi trường đến hoạt động quản trị, những yêu cầu đối với nhà quản trị, các chức năng cơ bản của quản trị, những vấn đề cơ bản của quản trị hiện đại.",Bổ trợ,C1
CSE702055,Tiếng Anh chuyên ngành,2,2,0,4,FEL702003,,,CSE,,Bổ trợ,C1
FTS702004,Kỹ năng tư duy sáng tạo và phản biện,2,1,1,4,,,,FBE,"Học phần cung cấp cho sinh viên những nội dung cốt lõi về tư duy sáng tạo và phản biện, từ những khái niệm cơ bản đến những hướng dẫn cụ thể để hình thành tư duy sáng tạo và phản biện. Trên cơ sở kiến thức và kỹ năng được rèn luyện, sinh viên có thể đánh giá được điểm mạnh và điểm hạn chế trong tư duy sáng tạo và phản biện từ có thể biết cách cải thiện cũng như rèn luyện để thành thói quen.",Bổ trợ,C2
FTS702003,"Kỹ năng đàm phán, thương lượng",2,1,1,4,,,,FBE,"Học phần cung cấp cho người học những kiến thức cơ bản về đàm phán, thương lượng; giúp sinh viên ứng dụng những kiến thức này vào các vấn đề thực tế thông qua việc giải quyết các tình huống phát sinh như: tranh chấp lao động, bàn thảo hợp đồng, thuyết trình sản phẩm, phân tích và xử lý tình huống khó khăn trong công việc,….. Các bài tập được thực hiện theo nhóm, theo cặp và thuyết trình trước đám đông. Người học có thể tự tin thuyết trình trước đám đông về một chủ đề nhất định, có khả năng đàm phán trong kinh doanh và trong các cuộc thương thuyết trong công việc sau này.",Bổ trợ,C2
FTS702001,Kỹ năng khởi nghiệp và lãnh đạo,2,1,1,4,,,,FBE,"Học phần này cung cấp những kiến thức cơ bản nhằm giúp người học hiểu thế nào là khởi nghiệp kinh doanh, tầm quan trọng của khởi nghiệp kinh doanh, và một số kỹ năng cơ bản trong khởi nghiệp kinh doanh. Cụ thể, sau khi hoàn thành học phần này, người học sẽ biết cách xác định và phát triển ý tưởng và cơ hội kinh doanh; xây dựng mô hình kinh doanh; và lập kế hoạch kinh doanh. Học phần cũng cung cấp cho người học một số kiến thức, kỹ năng cơ bản về kỹ năng lãnh đạo trong khởi nghiệp kinh doanh.",Bổ trợ,C2
FTS702002,Kỹ năng quản lý dự án,2,1,1,4,,,,FBE,"Môn học trang bị cho sinh viên các kiến thức cơ bản về Tổng quan dự án, cách xác đinh, lựa chọn và quản lý tổng thể dự án, cơ cấu tổ chức, phạm vi quản lý dự án, quản lý tiến độ, quản lý chi phí dự án. Phần thực hành tổ chức cho sinh viên đi tham quan một số doanh nghiệp, sau đó hướng dẫn cho sinh viên thảo luận, làm việc nhóm và xây dựng một số dự án trong xu thế xã hội ngày nay.",Bổ trợ,C2
CSE702025,Kỹ thuật phần mềm,2,"1,5","0,5",4,,CSE703038,,CSE,"Khóa học này giới thiệu các phương pháp kỹ thuật phần mềm hiện đại và giới thiệu vòng đời phát triển phần mềm bao gồm các tác vụ đặc tả yêu cầu phần mềm, thiết kế, phát triển, kiểm thử và bảo trì phần mềm. Khóa học giới thiệu các xu hướng phát triển phần mềm trong quá khứ cũng như hiện tại bao gồm các phương pháp phát triển phần mềm mềm dẻo (Agile software development) như Scrum, Extreme Programming (XP). Sinh viên cũng sẽ được thực hành sử dụng các phương pháp phát triển phần mềm để thực hiện dự án cụ thể trong khoá học.",Chuyên ngành,D1
CSE703065,Xử lý ngôn ngữ tự nhiên,3,3,0,6,FFS703010,FFS703007,,CSE,"Học phần này cung cấp các kiến thức cơ sở về các phương pháp xử lý ngôn ngữ tự nhiên thông qua máy tính như phân tích hình thái từ, phân tích từ loại, phân tích cú pháp. Đó là các kiến thức cơ bản, là phương tiện giúp sinh viên có thể xây dựng các ứng dụng thực tế hơn như kiểm tra và phát hiện lỗi chính tả, tìm kiếm thông tin, các hệ thống hỏi đáp, phân loại văn bản, phân tích ngữ nghĩa, dịch máy,… Một số hướng nghiên cứu mới trong ứng dụng học máy trong và học sâu xử lý ngôn ngữ tự nhiên cũng được giới thiệu trong học phần này",Chuyên ngành,D1
EEE703091,Xử lý ảnh,3,3,0,6,FFS703007; FFS703008,FFS703010,,EEE,"Học phần Xử lý ảnh đề cập các chủ đề chính của xử lý ảnh bao gồm các khái niệm cơ bản về ảnh số, lọc và nâng cao chất lượng ảnh, xử lý ảnh màu, các phép toán hình thái học, phân đoạn, trích xuất đặc trưng và nhận dạng ảnh. Ngoài ra, sinh viên cũng được làm các bài tập lập trình xử lý ảnh.",Chuyên ngành,D1
CSE702022,Khai phá dữ liệu,2,2,0,4,CSE703006,FFS703007,,CSE,"Môn học cung cấp kiến thức tổng quan về khai phá dữ liệu. Giới về các vấn đề trong dữ liệu. Các phương pháp thường dùng trong khai phá dữ liệu: Phân lớp, Phân cụm và Hồi quy. Môn học còn cung cấp thêm cho sinh viên các kiến thức về luật kết hợp và vấn đề về text mining. Sinh viên hiểu được các khái niệm cơ bản về thuật toán, phạm áp dụng của nó tương ứng với các loại dữ liệu cụ thể.  Để từ đó hoàn toàn áp dụng được trong thực tế từ việc chọn lọc dữ liệu, áp dụng (xây dựng) thuật toán để giải quyết vấn đề đặt ra của dữ liệu (thực tế).",Chuyên ngành,D1
EEE703035,Học sâu,3,3,0,6,CSE703020,FFS703007,,EEE,"Học phần “Học sâu” cung cấp những kiến thức cốt lõi của công nghệ học sâu, bao gồm: mô hình mạng nơ ron truyền thẳng; các kỹ thuật tổng quát hoá và tối ưu hóa các mô hình; mở rộng mô hình để làm việc với dữ liệu lớn; mạng CNN, RNN. Khóa học này trang bị các kỹ năng liên quan đến việc thiết kế, xây dựng và lập trình mô hình học sâu. Học phần cũng trang bị kiến thức cần thiết để học viên có thể sử dụng thư viện học sâu như Tensorflow để xây dựng một số ứng dụng cơ bản của công nghệ học sâu.",Chuyên ngành,D1
CSE703052,Thuật toán ứng dụng,3,2,1,6,CSE703006,CSE703024,,CSE,"Môn học thuật toán ứng dụng cung cấp kiến cho sinh viên kiến thức về phân tích và thiết kế thuật toán. Mục đích của học phần nhằm giới thiệu cho sinh viên các kĩ thuật cơ bản và nâng cao trong việc thiết kế thuật toán, với những ứng dụng quan trọng cả về lý thuyết lẫn thực hành. Các kĩ thuật cơ bản bao gồm: chia để trị, quy hoạch động, thuật toán tham lam. Bên cạnh đó, sinh viên cũng được học một số thuật toán nâng cao bao gồm: các thuật toán trên đồ thị, các thuật toán dòng chảy mạng, quy hoạch tuyến tính.",Chuyên ngành,D1
CSE703064,Xây dựng ứng dụng web,3,2,1,6,,CSE702040,,CSE,"Học phần này trang bị cho sinh viên các kiến thức cơ bản về ngôn ngữ HTML, JavaScript, CSS. Các kiến thức trên giúp cho sinh viên có thể thiết kế được ứng dụng web ở mức cơ bản, đồng thời trang bị cho sinh viên kiến thức và kỹ năng cần thiết để có thể làm đồ án môn học, khóa luận tốt nghiệp và ứng dụng trong thực tế sau khi ra trường.",Chuyên ngành,D2
CSE703042,Xử lý ngôn ngữ tự nhiên nâng cao,3,2,1,6,CSE703065,,,CSE,"Học phần này nâng cao kiến thức của học phần Xử lý ngôn ngữ tự nhiên, cung cấp thêm các kiến thức nền tảng về Xử lý ngôn ngữ tự nhiên. Học phần được thiết kế theo hướng dựa trên bài toán (problem-based), trong đó mỗi bài học được gắn vào một bài toán cụ thể. Học phần được chia theo năm phần cơ bản: thu thập và xử lý dữ liệu, các bài toán cơ bản, phân lớp, gán nhãn chuỗi, và sinh văn bản. Tương ứng với mỗi phần, người học sẽ được tiếp từ cơ bản đến các bài toán nâng cao. Qua đó, người học có thể áp dụng được các kiến thức đã học để xây dựng các ứng dụng NLP.",Chuyên ngành,D2
CSE703081,Học máy nâng cao,3,3,0,6,CSE703020,,,CSE,"Học phần nghiên cứu tính chất của các thuật toán học máy trên dưới góc độ xác suất, với mục tiêu là cung cấp những góc nhìn sâu về lý thuyết của các thuật toán phổ biến và trên cơ sở đó chúng ta có thể phát triển thêm các thuật toán mới có tiềm năng ứng dụng hiệu quả trong các bài toán thực tế.  Học phần giúp sinh viên  tìm hiểu sâu về lý thuyết và các phương pháp phổ biến của của học máy thống kê: độ phức tạp của mô hình, regularization. Đây là một trong những vấn đề quan trọng của các thuật toán học máy phổ biến hiện nay và là cơ sở để tìm ra các điểm mấu chốt quyết định tính ứng dụng của các thuật toán.",Chuyên ngành,D2
CSE702011,Điện toán đám mây,2,1,1,4,,CSE702036,,CSE,"Cung cấp các kiến thức cơ bản về điện toán đám mây bao gồm các khái niệm cơ bản về điện toán đám mây, các vấn đề về lưu trữ và xử lý dữ liệu, an toàn và bảo mật; các kiến trúc dịch vụ, hệ giám sát; công nghệ được áp dụng và thành phần thiết kế của nó. Dựa vào đó, học phần giúp sinh viên có nền tảng kiến thức để tham gia xây dựng, phát triển các ứng dụng trên điện toán đám mây hay có thể tự định hướng triển khai các đám mây theo nhu cầu sử dụng.",Chuyên ngành,D2
EEE703068,Thị giác máy tính,3,2,1,6,EEE703091,,,EEE,"This course covers main topics of computer vision including Image formation, Recognition, Feature detection and matching,  Image alignment and stitching, Motion estimation,  Structure from motion and SLAM, Depth estimation, and 3D reconstruction.",Chuyên ngành,D2
CSE703016,Giao diện người máy,3,2,1,6,CSE702025,,,CSE,"Học phần giới thiệu các lý thuyết và thực hành cơ bản về thiết kế, triển khai và đánh giá giao diện người-máy. Tập trong vào tầm quan trọng của các giao diện tốt và mối quan hệ của thiết kế giao diện người dùng và tương tác người-máy.",Chuyên ngành,D2
CSE703054,Tích hợp và phân tích dữ liệu lớn,3,2,1,6,CSE703008,CSE703006,,CSE,"Môn học cung cấp kiến thức tổng quan về phân tích dữ liệu lớn. Nội dung bao gồm giới thiệu các vấn đề liên quan đến dữ liệu lớn; cách thức thu thập cũng như phân tích dữ liệu lớn; các nền tảng Hadoop và Spark và ứng dụng trong xử lý và lưu trữ dữ liệu lớn. Môn học cũng giới thiệu về thư viện về học máy trong Spark; các ngôn ngữ lập trình được dùng trong Spark; đồng thời kết hợp với việc phân tích và các phương pháp lấy mẫu, giúp sinh viên có thể chủ động trong việc xây dựng một ứng dụng cụ thể về phân tích dữ liệu lớn.",Chuyên ngành,D2
CSE703032,Lập trình song song,3,2,1,6,CSE703038,CSE703038,,CSE,"Học phần lập trình song song cung cấp các kiến thức cơ bản về kiến trúc và xử lý song song. Các mô hình tính toán song song hiệu năng cao được trình bày chi tiết: phân tích và thiết kế thuật toán song song; lập trình song song theo mô hình bộ nhớ chia sẻ (Pthreads, OpenMP) và bộ nhớ phân tán (MPI); công cụ phân tích và đánh giá hiệu năng tính toán. Một số bài toán lập trình song song được triển khai cụ thể, ví dụ như: nhân ma trận; giải hệ phương trình tuyến tính; khai khoáng dữ liệu.",Chuyên ngành,D2
